model,feature_set,selected_feature_set,C,class_weight,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,mean_test_precision,std_test_precision,rank_test_precision,mean_test_recall,std_test_recall,rank_test_recall,mean_test_f1,std_test_f1,rank_test_f1,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,mean_fit_time,std_fit_time,mean_score_time,std_score_time
Logistic Regression Tuned,reduced,reduced,1.0,balanced,0.7741374999999999,0.0031675601809594608,7,0.6673075786519909,0.0033316854704353613,7,0.7871092244564529,0.006361784302569121,3,0.7222685794234783,0.004303015715210515,1,0.8588387622930179,0.003187581511986898,4,0.2672004222869873,0.02091384907324345,0.08214855194091797,0.01196625467169481
Logistic Regression Tuned,reduced,reduced,10.0,balanced,0.774125,0.0031832078945617194,8,0.6672888331428103,0.0033600693754613324,8,0.7871092244564529,0.006361784302569121,3,0.7222575651045104,0.0043142056224137,2,0.8588379673667197,0.003187847094482736,6,0.2773600101470947,0.017842297407337563,0.07908153533935547,0.00614872795551973
Logistic Regression Tuned,reduced,reduced,100.0,balanced,0.774125,0.0031832078945617194,8,0.6672888331428103,0.0033600693754613324,8,0.7871092244564529,0.006361784302569121,3,0.7222575651045104,0.0043142056224137,2,0.8588380274899012,0.0031878484913261474,5,0.2937142848968506,0.027348100100370042,0.09047045707702636,0.00940015913045988
Logistic Regression Tuned,reduced,reduced,0.1,balanced,0.774075,0.0031338375037643605,10,0.6672221098092141,0.0032839136285651455,10,0.7870757348401136,0.0063015411960248725,6,0.7222046282712223,0.004262689607573865,4,0.8588410034494057,0.0031850767297245995,3,0.25541272163391116,0.01929592803032032,0.07570910453796387,0.006626760167792342
Logistic Regression Tuned,reduced,reduced,0.01,balanced,0.7739125,0.0033449121812089496,11,0.6669111070884359,0.0036376563408382612,11,0.7873102294815786,0.006038818012020473,2,0.7221221394025269,0.004387400619283594,5,0.8588581674662086,0.0031817399216940274,1,0.23027458190917968,0.04326385404048272,0.0758981704711914,0.017857245186697113
Logistic Regression Tuned,reduced,reduced,0.001,balanced,0.7732875000000001,0.0028637279025773552,12,0.6655042734227449,0.0029644715864223267,12,0.7889517368565598,0.005469067883123576,1,0.7219861506916756,0.0038542003140209172,6,0.8585515710587819,0.0031975774339638046,12,0.2218318462371826,0.0031820306923436123,0.05989031791687012,0.0010430893369091315
Logistic Regression Tuned,reduced,reduced,100.0,none,0.787075,0.003826388636821929,1,0.7351932283253564,0.005875164914362317,2,0.6710996112702181,0.005770692654933975,7,0.7016790301385608,0.005414065291366178,7,0.8588339456621388,0.0031900843808560352,8,0.2777534008026123,0.027884598438974912,0.08863520622253418,0.012984097144550285
Logistic Regression Tuned,reduced,reduced,10.0,none,0.787075,0.003826388636821929,1,0.7351932283253564,0.005875164914362317,2,0.6710996112702181,0.005770692654933975,7,0.7016790301385608,0.005414065291366178,7,0.8588339356326659,0.0031903794949566205,9,0.2536930561065674,0.017415941727831657,0.08051519393920899,0.007344105844817758
Logistic Regression Tuned,reduced,reduced,1.0,none,0.7869875,0.0038863543327905597,5,0.7350735251742005,0.005960815925012895,6,0.6709656079201343,0.005859720039502395,9,0.7015511293206244,0.00550035947777276,9,0.8588328033438739,0.0031909580987612633,10,0.2565449714660645,0.011946171660902819,0.08695874214172364,0.0149599811025949
Logistic Regression Tuned,reduced,reduced,0.1,none,0.7869875000000001,0.003806737448261964,4,0.7351056715320724,0.005762895053550942,5,0.6708986062450925,0.00586539551054262,10,0.7015294909748906,0.005434249016793065,10,0.8588374927229314,0.0031889156343318154,7,0.2703068733215332,0.016385588538497396,0.07513117790222168,0.007744591994865897
Logistic Regression Tuned,reduced,reduced,0.01,none,0.7869999999999999,0.003807886552931946,3,0.7351817312125937,0.0056870687570066145,4,0.6707980812901666,0.0058305263762831495,11,0.7015103230357415,0.005453592086065369,11,0.8588571185852775,0.0031795870044380795,2,0.20185928344726561,0.007227435840594326,0.059827661514282225,0.0019343387150217105
Logistic Regression Tuned,reduced,reduced,0.001,none,0.7866125,0.004256869448315264,6,0.7361490630583171,0.006502799320259826,1,0.6673141120103954,0.005892629790533006,12,0.7000399501927788,0.005976048895202801,12,0.858563217446342,0.003200598819346595,11,0.20729384422302247,0.005213451568672176,0.05987472534179687,0.0012327633932074954
